                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.95124,                0.81693,                 1.2838,                0.71451,                0.58223,                0.62746,                0.41194,                 1.2762,                 1.2618,                 1.6682,             0.00062262,             0.00062262,             0.00062262
                     60,                0.93977,                  0.798,                 1.2687,                0.76359,                0.57563,                0.64142,                0.41089,                 1.3036,                 1.2065,                 1.6928,             0.00060847,             0.00060847,             0.00060847
                     61,                0.95511,                0.80958,                 1.2753,                0.74009,                0.56505,                0.61484,                0.40631,                 1.2964,                  1.285,                 1.6966,             0.00059432,             0.00059432,             0.00059432
                     62,                0.92524,                0.78631,                 1.2605,                0.69788,                0.58231,                0.62627,                 0.4086,                 1.2934,                 1.1953,                 1.6832,             0.00058017,             0.00058017,             0.00058017
                     63,                0.91631,                 0.7621,                 1.2501,                0.70027,                0.60184,                 0.6331,                0.42409,                  1.276,                 1.1974,                 1.6611,             0.00056603,             0.00056603,             0.00056603
                     64,                0.94609,                0.79624,                  1.284,                0.65191,                 0.5862,                0.60664,                0.40399,                 1.2699,                  1.274,                 1.6621,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.8999,                0.74589,                 1.2423,                0.73406,                0.57082,                0.63781,                0.42584,                 1.2572,                 1.2144,                 1.6654,             0.00053773,             0.00053773,             0.00053773
                     66,                0.92241,                0.76061,                 1.2564,                0.73328,                0.58398,                0.63522,                0.42043,                 1.2685,                 1.1995,                 1.6544,             0.00052359,             0.00052359,             0.00052359
                     67,                0.91296,                0.75371,                 1.2554,                0.70151,                0.60637,                0.63743,                0.42616,                 1.2542,                 1.1832,                 1.6573,             0.00050944,             0.00050944,             0.00050944
                     68,                0.89065,                0.74032,                 1.2433,                0.71372,                0.58518,                0.62826,                0.42053,                  1.275,                 1.2531,                 1.6715,             0.00049529,             0.00049529,             0.00049529
                     69,                0.90047,                0.75398,                 1.2491,                 0.6471,                0.59038,                 0.6067,                0.40209,                 1.2985,                 1.2654,                 1.7002,             0.00048114,             0.00048114,             0.00048114
                     70,                0.88978,                0.73763,                 1.2409,                0.71374,                 0.5742,                0.61417,                0.40712,                 1.3032,                 1.2715,                 1.6888,               0.000467,               0.000467,               0.000467
